date,0x20240411,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,end
crc32,0xf9f1b2f8,NA,0x60bf1dee,NA,0x8da8e968,NA,0xc114d1cf,NA,0xa4555756,NA,0xf5486b3a,NA,0xf5486b3a,NA,end
72,4278,242,1047,1036,735,1456,239,4166,738,1374,349,2839,349,2839,end
73,4297,241,997,1035,698,1449,249,4166,736,1372,339,2840,339,2840,end
74,4347,240,998,1031,738,1447,249,4166,738,1368,349,2841,349,2841,end
75,4485,240,1046,1029,738,1444,249,4166,787,1367,389,2842,389,2842,end
76,4332,239,997,1026,696,1442,246,4165,689,1362,349,2841,349,2841,end
77,4323,239,1047,1024,736,1439,264,3963,738,1358,339,2842,339,2842,end
78,4303,239,996,1021,737,1435,299,3460,737,1356,349,2841,349,2841,end
79,4381,238,1048,1019,747,1430,292,3459,788,1352,389,2842,389,2842,end
80,4530,238,996,1017,738,1427,289,3354,737,1349,349,2842,349,2842,end
81,4377,237,996,1014,749,1423,299,3355,738,1344,339,2842,339,2842,end
82,4388,236,1046,1011,738,1420,299,3354,738,1342,349,2842,349,2842,end
83,4382,236,1047,1008,748,1418,299,3355,788,1339,389,2841,389,2841,end
84,4558,235,1047,1006,733,1415,289,3356,738,1336,349,2840,349,2840,end
85,4436,235,1048,1003,731,1391,287,3355,787,1333,339,2840,339,2840,end
86,4425,235,1047,1001,766,1408,349,2960,738,1329,349,2841,349,2841,end
87,4443,233,1048,998,766,1339,332,2959,738,1325,349,2842,349,2842,end
88,4587,233,1045,996,820,1304,389,2757,787,1323,389,2841,389,2841,end
89,4477,233,1047,993,869,1260,349,2757,765,1306,379,2643,379,2643,end
90,4479,232,1045,992,859,1172,349,2757,860,1222,399,2350,399,2350,end
91,4434,232,1048,987,955,1089,336,2757,851,1140,441,2347,441,2347,end
92,4668,232,1056,985,1093,1008,388,2554,955,1064,539,1826,539,1826,end
93,4458,231,1150,905,1137,923,391,2349,1003,985,557,1828,557,1828,end
94,4473,231,1240,830,1228,841,480,2146,1129,915,786,1323,786,1323,end
95,4529,230,1380,753,1364,761,493,1943,1231,838,728,1325,728,1325,end
96,4683,229,1561,678,1542,680,539,1739,1317,761,753,1326,753,1326,end
97,4523,229,1734,605,1802,600,582,1734,1452,689,1272,822,1272,822,end
98,4533,228,1990,531,2042,517,588,1544,1632,619,1233,826,1233,826,end
99,4586,227,2281,454,2453,432,620,1540,1838,549,1176,827,1176,827,end
end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end
