date,0x20240325,,,,,,,,,,,,,,end
title,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,time/0.1s,current,end
level/type,sdp,sdp,cdp/dcp,cdp/dcp,vooc,vooc,svooc,svooc,pd/qc,pd/qc,third-pps,third-pps,third-ufcs,third-ufcs,end
crc32,ef557e13,NA,ef3ba6f1,NA,a4897422,NA,ddc5dc6,NA,49ac0329,NA,3affd30c,NA,3affd30c,NA,end
73,4046,222,955,1005,638,1487,199,5406,469,1810,349,2830,349,2830,end
74,3935,223,945,1002,599,1483,149,5405,536,1691,299,2835,299,2835,end
75,4062,221,907,999,638,1480,199,5410,528,1715,289,2830,289,2830,end
76,3890,224,944,999,589,1476,149,5409,552,1732,299,2830,299,2830,end
77,3900,220,958,993,638,1472,199,5410,469,1788,349,2828,349,2828,end
78,4062,223,894,994,589,1469,199,3954,558,1788,299,2829,299,2829,end
79,3929,220,946,989,638,1466,239,3953,499,1784,309,2828,309,2828,end
80,3942,218,1005,986,599,1462,199,3954,499,1781,349,2832,349,2832,end
81,4168,218,898,983,638,1460,249,3952,507,1776,299,2828,299,2828,end
82,3977,217,957,981,638,1456,240,3955,538,1776,299,2832,299,2832,end
83,3995,216,946,979,638,1452,187,3958,499,1773,349,2828,349,2828,end
84,4193,216,956,977,588,1449,249,3962,548,1768,299,2829,299,2829,end
85,3949,217,946,973,648,1446,249,3960,498,1764,299,2828,299,2828,end
86,4048,214,1006,971,635,1442,199,3959,528,1752,349,2835,349,2835,end
87,4230,214,945,971,668,1397,249,3957,536,1667,299,2838,299,2838,end
88,4053,215,1008,967,670,1306,199,3956,583,1577,299,2833,299,2833,end
89,4176,214,945,967,762,1226,229,3960,631,1485,289,2835,289,2835,end
90,4116,212,947,964,764,1137,249,3562,630,1394,331,2833,331,2833,end
91,4091,212,956,961,903,1060,272,3561,678,1304,398,2330,398,2330,end
92,4243,212,996,959,905,973,249,3037,761,1217,389,2326,389,2326,end
93,4112,210,957,957,1031,900,318,3036,817,1126,449,1866,449,1866,end
94,4081,211,1022,953,1090,819,349,2563,864,1037,438,1870,438,1870,end
95,4306,210,1057,884,1219,746,319,2562,949,951,509,1866,509,1866,end
96,4126,210,1140,799,1314,673,449,2041,1050,868,635,1350,635,1350,end
97,4118,211,1276,717,1540,606,423,2046,1133,786,646,1348,646,1348,end
98,4299,210,1463,638,1712,537,499,1523,1321,710,649,1322,649,1322,end
99,4145,209,1684,557,1896,475,439,1523,1447,631,1736,529,1736,529,end
end,end,end,end,end,end,end,end,end,end,end,end,end,end,end,end
